"Nombre,""Tipo"",""Tipo"",""Da�o"",""Efecto"",""Fisico o Especial"""
"Retribucion,""Normal"",""100"",""100"",""no"",""F"""
"Sintesis,""Planta"",""0"",""100"",""helea el 50% de la vida maxima"",""F"""
"Surf,""Agua"",""90"",""100"",""no"",""E"""
"Tajo Aereo,""Volador"",""75"",""95"",""no"",""E"""
"Tajo Umbrio,""Siniestro"",""70"",""100"",""no"",""F"""
"Terremoto,""Tierra"",""100"",""100"",""no"",""F"""
"Tijera X,""Bicho"",""80"",""100"",""no"",""F"""
"Toxico,""Veneno"",""0"",""100"",""envenena al rival"",""F"""
"Triturar,""Siniestro"",""80"",""100"",""no"",""F"""
"Velo Sagrado,""Normal"",""0"",""100"",""cura los estados"",""F"""
"Vendaval,""Volador"",""110"",""70"",""no"",""E"""
"Viento Hielo,""Hielo"",""55"",""95"",""10% de congelar al rival"",""E"""
"Zumbido,""Bicho"",""90"",""100"",""no"",""E"""
